Name, Team, Opponents, Date, Ground, Innings, Balls, Maidens, Runs, Wickets, Balls Per Over
SJ Cook, Middlesex, Northamptonshire, 15 May 2002, County Ground  Northampton, 1, 108, 3, 63, 8, 6
GJ Thompson, Northamptonshire, Warwickshire, 10 August 1905, County Ground  Northampton, 1, 127, 4, 65, 8, 6
W Wells, Northamptonshire, Yorkshire, 9 May 1910, County Ground  Northampton, 2, 138, 5, 65, 8, 6
A Buss, Sussex, Northamptonshire, 24 August 1963, County Ground  Northampton, 1, 222, 10, 65, 8, 6
SWA Cadman, Derbyshire, Northamptonshire, 24 July 1920, County Ground  Northampton, 2, 147, 4, 70, 8, 6
VWC Jupp, Northamptonshire, Gloucestershire, 19 May 1926, County Ground  Northampton, 2, 210, 10, 71, 8, 6
EA McDonald, Lancashire, Northamptonshire, 10 August 1927, County Ground  Northampton, 2, 156, 7, 73, 8, 6
BW Sanderson, Northamptonshire, Gloucestershire, 12 September 2016, County Ground  Northampton, 2, 179, 9, 73, 8, 6
A Skelding, Leicestershire, Northamptonshire, 30 May 1925, County Ground  Northampton, 1, 188, 8, 79, 8, 6
W Bestwick, Derbyshire, Northamptonshire, 3 August 1921, County Ground  Northampton, 1, 183, 9, 82, 8, 6
AF Giles, Warwickshire, Northamptonshire, 14 June 2000, County Ground  Northampton, 2, 264, 17, 90, 8, 6
W Rhodes, Yorkshire, Northamptonshire, 20 July 1911, County Ground  Northampton, 1, 228, 10, 92, 8, 6
W Wells, Northamptonshire, Kent, 28 May 1921, County Ground  Northampton, 1, 130, 2, 94, 8, 6
GJ Thompson, Northamptonshire, Leicestershire, 2 July 1906, County Ground  Northampton, 2, 239, 10, 95, 8, 6
AE Thomas, Northamptonshire, South Africans, 5 July 1924, County Ground  Northampton, 1, 281, 11, 96, 8, 6
AP Freeman, Kent, Northamptonshire, 18 July 1934, County Ground  Northampton, 2, 245, 10, 103, 8, 6
W East, Northamptonshire, Lancashire, 15 May 1911, County Ground  Northampton, 1, 72, 5, 11, 7, 6
C Blythe, Kent, Northamptonshire, 4 June 1914, County Ground  Northampton, 2, 58, 2, 15, 7, 6
C Blythe, Kent, Northamptonshire, 30 May 1907, County Ground  Northampton, 2, 91, 7, 18, 7, 6
T Forrester, Derbyshire, Northamptonshire, 17 August 1912, County Ground  Northampton, 1, 107, 7, 18, 7, 6
A Waddington, Yorkshire, Northamptonshire, 14 July 1920, County Ground  Northampton, 2, 95, 9, 18, 7, 6
SG Smith, Northamptonshire, Leicestershire, 2 August 1909, County Ground  Northampton, 1, 92, 6, 20, 7, 6
GJ Thompson, Northamptonshire, Sussex, 8 August 1912, County Ground  Northampton, 2, 135, 12, 21, 7, 6
VWC Jupp, Northamptonshire, Yorkshire, 27 July 1927, County Ground  Northampton, 1, 72, 3, 21, 7, 6
W East, Northamptonshire, Derbyshire, 28 June 1906, County Ground  Northampton, 1, 88, 7, 22, 7, 6
GE Tribe, Northamptonshire, Yorkshire, 2 July 1958, County Ground  Northampton, 1, 84, 5, 22, 7, 6
WC Smith, Surrey, Northamptonshire, 8 August 1910, County Ground  Northampton, 1, 114, 11, 23, 7, 6
A Fielder, Kent, Northamptonshire, 23 May 1910, County Ground  Northampton, 2, 90, 6, 24, 7, 6
H Dean, Lancashire, Northamptonshire, 15 May 1911, County Ground  Northampton, 2, 96, 5, 24, 7, 6
JA Young, Middlesex, Northamptonshire, 4 August 1948, County Ground  Northampton, 2, 131, 10, 25, 7, 6
GJ Thompson, Northamptonshire, Hampshire, 10 July 1905, County Ground  Northampton, 1, 120, 9, 27, 7, 6
FJ Titmus, Middlesex, Northamptonshire, 23 June 1956, County Ground  Northampton, 2, 216, 23, 27, 7, 6
DJ Shepherd, Glamorgan, Northamptonshire, 7 August 1963, County Ground  Northampton, 1, 136, 10, 28, 7, 6
GJ Thompson, Northamptonshire, Derbyshire, 18 June 1908, County Ground  Northampton, 1, 90, 4, 29, 7, 6
G Geary, Leicestershire, Northamptonshire, 8 June 1935, County Ground  Northampton, 2, 130, 7, 30, 7, 6
MHJ Allen, Northamptonshire, Derbyshire, 30 July 1960, County Ground  Northampton, 1, 129, 11, 30, 7, 6
AE Relf, Sussex, Northamptonshire, 8 August 1912, County Ground  Northampton, 2, 110, 6, 33, 7, 6
W Reeves, Essex, Northamptonshire, 8 May 1920, County Ground  Northampton, 1, 130, 9, 33, 7, 6
GP Swann, Northamptonshire, Derbyshire, 27 June 2003, County Ground  Northampton, 2, 91, 2, 33, 7, 6
WE Bowes, Yorkshire, Northamptonshire, 27 June 1934, County Ground  Northampton, 2, 119, 6, 34, 7, 6
BL Muncer, Glamorgan, Northamptonshire, 28 July 1951, County Ground  Northampton, 2, 125, 10, 34, 7, 6
SG Smith, Northamptonshire, Derbyshire, 26 July 1909, County Ground  Northampton, 2, 104, 5, 36, 7, 6
AS Kennedy, Hampshire, Northamptonshire, 25 August 1928, County Ground  Northampton, 1, 144, 7, 36, 7, 6
SJ Staples, Nottinghamshire, Northamptonshire, 27 August 1930, County Ground  Northampton, 2, 90, 6, 36, 7, 6
EW Clark, Northamptonshire, Leicestershire, 3 June 1933, County Ground  Northampton, 1, 110, 4, 36, 7, 6
KD Boyce, Essex, Northamptonshire, 10 May 1972, County Ground  Northampton, 1, 114, 5, 36, 7, 6
N Gifford, Worcestershire, Northamptonshire, 17 August 1963, County Ground  Northampton, 1, 165, 13, 37, 7, 6
A Morton, Derbyshire, Northamptonshire, 13 May 1922, County Ground  Northampton, 1, 78, 4, 38, 7, 6
GE Sainsbury, Gloucestershire, Northamptonshire, 15 June 1985, County Ground  Northampton, 1, 104, 8, 38, 7, 6
GJ Thompson, Northamptonshire, Surrey, 15 May 1913, County Ground  Northampton, 1, 129, 6, 39, 7, 6
SG Smith, Northamptonshire, Essex, 6 June 1913, County Ground  Northampton, 1, 119, 5, 39, 7, 6
W Wells, Northamptonshire, Kent, 4 June 1914, County Ground  Northampton, 1, 106, 3, 39, 7, 6
JV Murdin, Northamptonshire, Leicestershire, 31 July 1920, County Ground  Northampton, 1, 120, 4, 39, 7, 6
R Illingworth, Yorkshire, Northamptonshire, 20 June 1962, County Ground  Northampton, 1, 194, 19, 40, 7, 6
NA Mallender, Northamptonshire, Derbyshire, 14 August 1982, County Ground  Northampton, 2, 114, 9, 41, 7, 6
GJ Thompson, Northamptonshire, Derbyshire, 27 June 1907, County Ground  Northampton, 2, 216, 16, 42, 7, 6
HV Hordern, Gentlemen of Philadelphia, Northamptonshire, 27 July 1908, County Ground  Northampton, 1, 132, 7, 43, 7, 6
DM Bess, Yorkshire, Northamptonshire, 4 July 2021, County Ground  Northampton, 1, 148, 11, 43, 7, 6
JV Murdin, Northamptonshire, Kent, 21 June 1922, County Ground  Northampton, 2, 95, 5, 44, 7, 6
AE Thomas, Northamptonshire, Lancashire, 6 June 1928, County Ground  Northampton, 1, 151, 10, 44, 7, 6
FH Tyson, Northamptonshire, Worcestershire, 14 May 1955, County Ground  Northampton, 1, 182, 14, 44, 7, 6
RK Tyldesley, Lancashire, Northamptonshire, 18 July 1923, County Ground  Northampton, 2, 143, 9, 45, 7, 6
LN Constantine, West Indians, Northamptonshire, 27 June 1928, County Ground  Northampton, 1, 109, 2, 45, 7, 6
EW Clark, Northamptonshire, Kent, 19 June 1929, County Ground  Northampton, 1, 96, 4, 45, 7, 6
DS Lucas, Northamptonshire, Leicestershire, 23 September 2009, County Ground  Northampton, 2, 96, 4, 45, 7, 6
DJ Capel, Northamptonshire, Yorkshire, 27 June 1987, County Ground  Northampton, 1, 110, 3, 46, 7, 6
WE Astill, Leicestershire, Northamptonshire, 31 July 1920, County Ground  Northampton, 1, 138, 5, 47, 7, 6
VWC Jupp, Northamptonshire, Kent, 1 June 1932, County Ground  Northampton, 1, 107, 4, 47, 7, 6
CEL Ambrose, Northamptonshire, Derbyshire, 21 July 1994, County Ground  Northampton, 1, 118, 5, 48, 7, 6
AP Freeman, Kent, Northamptonshire, 28 August 1926, County Ground  Northampton, 1, 114, 5, 49, 7, 6
EG Dennett, Gloucestershire, Northamptonshire, 25 July 1907, County Ground  Northampton, 1, 203, 12, 51, 7, 6
VWC Jupp, Northamptonshire, Glamorgan, 11 May 1929, County Ground  Northampton, 1, 135, 5, 51, 7, 6
VWC Jupp, Northamptonshire, Essex, 20 August 1927, County Ground  Northampton, 1, 192, 9, 52, 7, 6
AE Nutter, Northamptonshire, Kent, 14 July 1948, County Ground  Northampton, 2, 114, 7, 52, 7, 6
WW Davis, Northamptonshire, Sussex, 23 July 1988, County Ground  Northampton, 1, 101, 0, 52, 7, 6
GJ Batty, Worcestershire, Northamptonshire, 2 June 2004, County Ground  Northampton, 1, 162, 10, 52, 7, 6
GJ Thompson, Northamptonshire, Hampshire, 5 July 1909, County Ground  Northampton, 2, 113, 7, 53, 7, 6
Wasim Akram, Lancashire, Northamptonshire, 2 July 1988, County Ground  Northampton, 1, 150, 6, 53, 7, 6
EW Clark, Northamptonshire, Kent, 1 July 1925, County Ground  Northampton, 1, 114, 5, 54, 7, 6
MR Davis, Somerset, Northamptonshire, 30 June 1984, County Ground  Northampton, 1, 146, 6, 55, 7, 6
RG Archer, Australians, Northamptonshire, 4 July 1953, County Ground  Northampton, 1, 94, 1, 56, 7, 6
JM Blanckenberg, South Africans, Northamptonshire, 5 July 1924, County Ground  Northampton, 1, 114, 4, 57, 7, 6
AP Freeman, Kent, Northamptonshire, 31 May 1933, County Ground  Northampton, 2, 168, 11, 57, 7, 6
SH Emery, Australians, Northamptonshire, 9 May 1912, County Ground  Northampton, 2, 92, 3, 58, 7, 6
KBS Jarvis, Kent, Northamptonshire, 25 June 1977, County Ground  Northampton, 2, 138, 4, 58, 7, 6
G Miller, Derbyshire, Northamptonshire, 23 July 1977, County Ground  Northampton, 1, 161, 11, 58, 7, 6
GJ Thompson, Northamptonshire, Hampshire, 2 June 1910, County Ground  Northampton, 2, 204, 14, 60, 7, 6
G Geary, Leicestershire, Northamptonshire, 30 July 1932, County Ground  Northampton, 1, 221, 18, 60, 7, 6
SG Smith, Northamptonshire, South Africans, 6 June 1907, County Ground  Northampton, 2, 162, 5, 61, 7, 6
JE Buswell, Northamptonshire, Lancashire, 6 July 1938, County Ground  Northampton, 1, 110, 2, 61, 7, 6
WC Smith, Surrey, Northamptonshire, 25 May 1911, County Ground  Northampton, 2, 144, 4, 62, 7, 6
CWL Parker, Gloucestershire, Northamptonshire, 19 May 1926, County Ground  Northampton, 1, 190, 10, 62, 7, 6
MJ Nicholson, Northamptonshire, Gloucestershire, 8 August 2006, County Ground  Northampton, 1, 138, 4, 62, 7, 6
EW Clark, Northamptonshire, Glamorgan, 20 May 1933, County Ground  Northampton, 1, 156, 10, 63, 7, 6
JS Manning, Northamptonshire, Hampshire, 5 August 1959, County Ground  Northampton, 1, 186, 9, 63, 7, 6
TA Copeland, Northamptonshire, Leicestershire, 15 May 2013, County Ground  Northampton, 1, 170, 7, 63, 7, 6
SC Kerrigan, Lancashire, Northamptonshire, 8 July 2013, County Ground  Northampton, 2, 180, 8, 63, 7, 6
TPB Smith, Essex, Northamptonshire, 29 July 1931, County Ground  Northampton, 1, 148, 7, 64, 7, 6
GE Tribe, Northamptonshire, Glamorgan, 20 August 1952, County Ground  Northampton, 1, 228, 15, 64, 7, 6
JCJ Dye, Northamptonshire, Derbyshire, 14 June 1975, County Ground  Northampton, 2, 126, 6, 64, 7, 6
WS Lees, Surrey, Northamptonshire, 14 June 1909, County Ground  Northampton, 1, 206, 15, 65, 7, 6
JS Manning, Northamptonshire, Derbyshire, 21 August 1957, County Ground  Northampton, 1, 167, 8, 65, 7, 6
GG Macaulay, Yorkshire, Northamptonshire, 29 June 1932, County Ground  Northampton, 2, 185, 10, 66, 7, 6
JL Hopwood, Lancashire, Northamptonshire, 21 August 1935, County Ground  Northampton, 1, 180, 13, 66, 7, 6
JE Walsh, Leicestershire, Northamptonshire, 31 July 1948, County Ground  Northampton, 1, 150, 5, 66, 7, 6
SJ Staples, Nottinghamshire, Northamptonshire, 24 June 1925, County Ground  Northampton, 1, 123, 3, 67, 7, 6
Khalid Ibadulla, Warwickshire, Northamptonshire, 17 July 1957, County Ground  Northampton, 1, 241, 17, 67, 7, 6
GE Tribe, Northamptonshire, Nottinghamshire, 29 May 1954, County Ground  Northampton, 2, 78, 2, 68, 7, 6
GE Tribe, Northamptonshire, Gloucestershire, 25 May 1957, County Ground  Northampton, 2, 134, 5, 68, 7, 6
JC Clay, Glamorgan, Northamptonshire, 7 May 1932, County Ground  Northampton, 1, 186, 6, 69, 7, 6
WJ Edrich, Middlesex, Northamptonshire, 7 August 1946, County Ground  Northampton, 1, 156, 6, 69, 7, 6
KM Curran, Gloucestershire, Northamptonshire, 7 June 1989, County Ground  Northampton, 1, 156, 6, 69, 7, 6
AE Nutter, Northamptonshire, Kent, 16 May 1951, County Ground  Northampton, 1, 217, 10, 70, 7, 6
GJ Thompson, Northamptonshire, Kent, 10 June 1912, County Ground  Northampton, 1, 167, 5, 71, 7, 6
GJ Thompson, Northamptonshire, Leicestershire, 2 July 1906, County Ground  Northampton, 1, 180, 8, 72, 7, 6
HP Cooper, Yorkshire, Northamptonshire, 19 May 1976, County Ground  Northampton, 1, 172, 4, 72, 7, 6
WC Smith, Surrey, Northamptonshire, 8 July 1912, County Ground  Northampton, 1, 240, 6, 73, 7, 6
TB Mitchell, Derbyshire, Northamptonshire, 7 August 1935, County Ground  Northampton, 1, 110, 3, 73, 7, 6
ASA Perera, Sri Lanka A, Northamptonshire, 15 July 1999, County Ground  Northampton, 1, 83, 2, 73, 7, 6
JL Clare, Derbyshire, Northamptonshire, 16 July 2008, County Ground  Northampton, 1, 114, 2, 74, 7, 6
AH Read, Essex, Northamptonshire, 17 August 1908, County Ground  Northampton, 2, 162, 10, 75, 7, 6
A Staples, Nottinghamshire, Northamptonshire, 5 August 1931, County Ground  Northampton, 1, 163, 9, 75, 7, 6
AA Mallett, Australians, Northamptonshire, 22 May 1968, County Ground  Northampton, 2, 189, 15, 75, 7, 6
JG Thomas, Northamptonshire, Glamorgan, 9 June 1990, County Ground  Northampton, 1, 150, 7, 75, 7, 6
JW Hitch, Surrey, Northamptonshire, 15 May 1913, County Ground  Northampton, 2, 146, 3, 76, 7, 6
K Higgs, Lancashire, Northamptonshire, 17 August 1960, County Ground  Northampton, 1, 198, 6, 76, 7, 6
Azharullah, Northamptonshire, Sussex, 23 September 2014, County Ground  Northampton, 2, 141, 2, 76, 7, 6
GJ Thompson, Northamptonshire, Leicestershire, 15 August 1907, County Ground  Northampton, 2, 197, 13, 77, 7, 6
GM Lee, Derbyshire, Northamptonshire, 3 August 1927, County Ground  Northampton, 2, 264, 14, 78, 7, 6
FJ Titmus, Middlesex, Northamptonshire, 29 July 1967, County Ground  Northampton, 2, 282, 17, 78, 7, 6
JF Brown, Northamptonshire, Sussex, 9 August 2000, County Ground  Northampton, 2, 134, 1, 78, 7, 6
JM Sims, Middlesex, Northamptonshire, 17 June 1939, County Ground  Northampton, 1, 216, 2, 79, 7, 8
KD Boyce, Essex, Northamptonshire, 16 July 1969, County Ground  Northampton, 1, 141, 5, 80, 7, 6
JC White, Somerset, Northamptonshire, 10 July 1913, County Ground  Northampton, 1, 197, 8, 81, 7, 6
W Wells, Northamptonshire, Leicestershire, 3 August 1914, County Ground  Northampton, 1, 144, 3, 82, 7, 6
WE Merritt, Northamptonshire, Lancashire, 23 August 1939, County Ground  Northampton, 1, 163, 4, 83, 7, 8
R Tattersall, Lancashire, Northamptonshire, 13 August 1952, County Ground  Northampton, 1, 203, 9, 83, 7, 6
JAR Harris, Middlesex, Northamptonshire, 19 August 2018, County Ground  Northampton, 1, 157, 6, 83, 7, 6
WS Hacker, Glamorgan, Northamptonshire, 23 July 1921, County Ground  Northampton, 1, 160, 9, 84, 7, 6
WS Lees, Surrey, Northamptonshire, 25 May 1911, County Ground  Northampton, 1, 173, 5, 86, 7, 6
SG Smith, Northamptonshire, Derbyshire, 26 July 1909, County Ground  Northampton, 1, 138, 4, 87, 7, 6
JP Taylor, Northamptonshire, Nottinghamshire, 4 June 1997, County Ground  Northampton, 2, 150, 5, 87, 7, 6
RW Clarke, Northamptonshire, Surrey, 18 May 1949, County Ground  Northampton, 1, 228, 10, 88, 7, 6
W Wells, Northamptonshire, Somerset, 11 July 1912, County Ground  Northampton, 1, 114, 2, 90, 7, 6
AW Wellard, Somerset, Northamptonshire, 29 July 1939, County Ground  Northampton, 1, 224, 4, 91, 7, 8
CD Drybrough, Middlesex, Northamptonshire, 12 August 1964, County Ground  Northampton, 1, 174, 7, 94, 7, 6
EAE Baptiste, Northamptonshire, Yorkshire, 28 August 1991, County Ground  Northampton, 2, 192, 5, 95, 7, 6
GAE Paine, Warwickshire, Northamptonshire, 22 June 1935, County Ground  Northampton, 1, 312, 18, 99, 7, 6
W Rhodes, Yorkshire, Northamptonshire, 10 July 1926, County Ground  Northampton, 2, 291, 12, 102, 7, 6
K Smales, Nottinghamshire, Northamptonshire, 11 June 1955, County Ground  Northampton, 1, 216, 8, 104, 7, 6
NA Foster, Essex, Northamptonshire, 24 August 1989, County Ground  Northampton, 1, 210, 7, 105, 7, 6
VWC Jupp, Northamptonshire, Nottinghamshire, 11 July 1928, County Ground  Northampton, 1, 119, 2, 110, 7, 6
HA Gilbert, Worcestershire, Northamptonshire, 15 July 1922, County Ground  Northampton, 1, 217, 5, 111, 7, 6
VWC Jupp, Northamptonshire, Worcestershire, 11 August 1928, County Ground  Northampton, 2, 199, 5, 113, 7, 6
AP Freeman, Kent, Northamptonshire, 19 May 1928, County Ground  Northampton, 2, 162, 1, 116, 7, 6
WE Hollies, Warwickshire, Northamptonshire, 12 August 1939, County Ground  Northampton, 1, 388, 15, 119, 7, 8
WE Hollies, Warwickshire, Northamptonshire, 21 August 1937, County Ground  Northampton, 1, 304, 12, 120, 7, 6
CB Clarke, Northamptonshire, Yorkshire, 23 August 1947, County Ground  Northampton, 1, 171, 2, 120, 7, 6
DM Cousins, Northamptonshire, Lancashire, 30 May 2001, County Ground  Northampton, 2, 168, 3, 120, 7, 6
VWC Jupp, Northamptonshire, Sussex, 13 July 1932, County Ground  Northampton, 1, 169, 4, 129, 7, 6
CB Clarke, Essex, Northamptonshire, 1 July 1959, County Ground  Northampton, 1, 266, 8, 130, 7, 6
A Kumble, Northamptonshire, Hampshire, 20 July 1995, County Ground  Northampton, 1, 347, 21, 131, 7, 6
GJ Thompson, Northamptonshire, Nottinghamshire, 31 May 1906, County Ground  Northampton, 1, 240, 0, 156, 7, 6
